name,oxilean,lean4lean,class,oxilean_detail,lean4lean_detail
Functor.ctorIdx,verified,verified,agree,,
Functor.map,verified,verified,agree,,
Functor.mapConst,verified,verified,agree,,
Functor.mapConst._default,absent,verified,only-one-side,,
Functor.mk._flat_ctor,absent,verified,only-one-side,,
Functor.mk.noConfusion,verified,verified,agree,,
Functor.noConfusion,verified,verified,agree,,
Functor.noConfusionType,verified,verified,agree,,
Functor.recOn,verified,verified,agree,,
GE.ge,verified,verified,agree,,
GT.gt,verified,verified,agree,,
HAdd,verified,verified,agree,,
HAdd.casesOn,verified,verified,agree,,
HAdd.ctorIdx,verified,verified,agree,,
HAdd.hAdd,verified,verified,agree,,
HAdd.mk._flat_ctor,absent,verified,only-one-side,,
HAdd.mk.noConfusion,verified,verified,agree,,
HAdd.noConfusion,verified,verified,agree,,
HAdd.noConfusionType,verified,verified,agree,,
HAdd.recOn,verified,verified,agree,,
HAnd,verified,verified,agree,,
HAnd.casesOn,verified,verified,agree,,
HAnd.ctorIdx,verified,verified,agree,,
HAnd.hAnd,verified,verified,agree,,
HAnd.mk._flat_ctor,absent,verified,only-one-side,,
HAnd.mk.noConfusion,verified,verified,agree,,
HAnd.noConfusion,verified,verified,agree,,
HAnd.noConfusionType,verified,verified,agree,,
HAnd.recOn,verified,verified,agree,,
HAndThen,verified,verified,agree,,
HAndThen.casesOn,verified,verified,agree,,
HAndThen.ctorIdx,verified,verified,agree,,
HAndThen.hAndThen,verified,verified,agree,,
HAndThen.mk._flat_ctor,absent,verified,only-one-side,,
HAndThen.mk.noConfusion,verified,verified,agree,,
HAndThen.noConfusion,verified,verified,agree,,
HAndThen.noConfusionType,verified,verified,agree,,
HAndThen.recOn,verified,verified,agree,,
HAppend,verified,verified,agree,,
HAppend.casesOn,verified,verified,agree,,
HAppend.ctorIdx,verified,verified,agree,,
HAppend.hAppend,verified,verified,agree,,
HAppend.mk._flat_ctor,absent,verified,only-one-side,,
HAppend.mk.noConfusion,verified,verified,agree,,
HAppend.noConfusion,verified,verified,agree,,
HAppend.noConfusionType,verified,verified,agree,,
HAppend.recOn,verified,verified,agree,,
HDiv,verified,verified,agree,,
HDiv.casesOn,verified,verified,agree,,
HDiv.ctorIdx,verified,verified,agree,,
HDiv.hDiv,verified,verified,agree,,
HDiv.mk._flat_ctor,absent,verified,only-one-side,,
HDiv.mk.noConfusion,verified,verified,agree,,
HDiv.noConfusion,verified,verified,agree,,
HDiv.noConfusionType,verified,verified,agree,,
HDiv.recOn,verified,verified,agree,,
HEq,verified,verified,agree,,
HEq.casesOn,verified,verified,agree,,
HEq.recOn,verified,verified,agree,,
HEq.rfl,verified,verified,agree,,
HMod,verified,verified,agree,,
HMod.casesOn,verified,verified,agree,,
HMod.ctorIdx,verified,verified,agree,,
HMod.hMod,verified,verified,agree,,
HMod.mk._flat_ctor,absent,verified,only-one-side,,
HMod.mk.noConfusion,verified,verified,agree,,
HMod.noConfusion,verified,verified,agree,,
HMod.noConfusionType,verified,verified,agree,,
HMod.recOn,verified,verified,agree,,
HMul,verified,verified,agree,,
HMul.casesOn,verified,verified,agree,,
HMul.ctorIdx,verified,verified,agree,,
HMul.hMul,verified,verified,agree,,
HMul.mk._flat_ctor,absent,verified,only-one-side,,
HMul.mk.noConfusion,verified,verified,agree,,
HMul.noConfusion,verified,verified,agree,,
HMul.noConfusionType,verified,verified,agree,,
HMul.recOn,verified,verified,agree,,
HOr,verified,verified,agree,,
HOr.casesOn,verified,verified,agree,,
HOr.ctorIdx,verified,verified,agree,,
HOr.hOr,verified,verified,agree,,
HOr.mk._flat_ctor,absent,verified,only-one-side,,
HOr.mk.noConfusion,verified,verified,agree,,
HOr.noConfusion,verified,verified,agree,,
HOr.noConfusionType,verified,verified,agree,,
HOr.recOn,verified,verified,agree,,
HOrElse,verified,verified,agree,,
HOrElse.casesOn,verified,verified,agree,,
HOrElse.ctorIdx,verified,verified,agree,,
HOrElse.hOrElse,verified,verified,agree,,
HOrElse.mk._flat_ctor,absent,verified,only-one-side,,
HOrElse.mk.noConfusion,verified,verified,agree,,
HOrElse.noConfusion,verified,verified,agree,,
HOrElse.noConfusionType,verified,verified,agree,,
HOrElse.recOn,verified,verified,agree,,
HPow,verified,verified,agree,,
HPow.casesOn,verified,verified,agree,,
HPow.ctorIdx,verified,verified,agree,,
HPow.hPow,verified,verified,agree,,
HPow.mk._flat_ctor,absent,verified,only-one-side,,
HPow.mk.noConfusion,verified,verified,agree,,
HPow.noConfusion,verified,verified,agree,,
HPow.noConfusionType,verified,verified,agree,,
HPow.recOn,verified,verified,agree,,
HSMul,verified,verified,agree,,
HSMul.casesOn,verified,verified,agree,,
HSMul.ctorIdx,verified,verified,agree,,
HSMul.hSMul,verified,verified,agree,,
HSMul.mk._flat_ctor,absent,verified,only-one-side,,
HSMul.mk.noConfusion,verified,verified,agree,,
HSMul.noConfusion,verified,verified,agree,,
HSMul.noConfusionType,verified,verified,agree,,
HSMul.recOn,verified,verified,agree,,
HShiftLeft,verified,verified,agree,,
HShiftLeft.casesOn,verified,verified,agree,,
HShiftLeft.ctorIdx,verified,verified,agree,,
HShiftLeft.hShiftLeft,verified,verified,agree,,
HShiftLeft.mk._flat_ctor,absent,verified,only-one-side,,
HShiftLeft.mk.noConfusion,verified,verified,agree,,
HShiftLeft.noConfusion,verified,verified,agree,,
HShiftLeft.noConfusionType,verified,verified,agree,,
HShiftLeft.recOn,verified,verified,agree,,
HShiftRight,verified,verified,agree,,
HShiftRight.casesOn,verified,verified,agree,,
HShiftRight.ctorIdx,verified,verified,agree,,
HShiftRight.hShiftRight,verified,verified,agree,,
HShiftRight.mk._flat_ctor,absent,verified,only-one-side,,
HShiftRight.mk.noConfusion,verified,verified,agree,,
HShiftRight.noConfusion,verified,verified,agree,,
HShiftRight.noConfusionType,verified,verified,agree,,
HShiftRight.recOn,verified,verified,agree,,
HSub,verified,verified,agree,,
HSub.casesOn,verified,verified,agree,,
HSub.ctorIdx,verified,verified,agree,,
HSub.hSub,verified,verified,agree,,
HSub.mk._flat_ctor,absent,verified,only-one-side,,
